Game,min_players,max_players,min_time,max_time,year,avg_rating,geek_rating,age,weight
Acquire,2,6,90,90,1964,7.35752,7.20107,12,2.5065
7 Wonders,2,7,30,30,2010,7.80273,7.71364,10,2.3429
Bananagrams,1,8,15,15,2006,6.34316,6.17313,7,1.3681
Bang!,4,7,20,40,2002,6.53986,6.40956,8,1.6376
Battlestar Galactica,3,6,120,300,2008,7.75261,7.61095,10,3.2292
Bohnanza,2,7,45,45,1997,7.05539,6.96375,13,1.6763
Braggart,2,6,30,30,2010,6.45359,5.85577,10,1.2222
Camel Up,2,8,20,30,2014,7.08413,6.95069,8,1.4898
Carcassonne,2,5,30,45,2000,7.43376,7.33059,8,1.9317
Cards Against Humanity,4,30,30,30,2009,6.09048,5.9247,17,1.2311
Cash and Guns,4,6,30,30,2005,6.6,6.6,10,1.27
Catan,3,4,60,120,1995,7.22355,7.07593,10,2.3488
Caverna,1,7,30,210,2013,8.1177,7.95343,12,3.7823
Century: Spice Road,2,5,30,45,2017,7.46749,7.2011,8,1.7598
Celestia,2,6,30,30,2015,7.07291,6.74437,8,1.3586
Civilization,2,4,120,240,2010,7.4,7.4,13,3.89
Codenames,2,8,15,15,2015,7.78988,7.69843,14,1.3303
Dead of Winter,2,5,60,120,2014,7.74899,7.60396,13,3.0008
Dice Forge,2,4,40,40,2017,7.39032,7.00461,10,1.8966
Uno,2,10,30,30,1971,5.4,5.4,6,1.12
Dixit,3,6,30,30,2008,7.32175,7.22186,6,1.2463
Dobble,2,8,5,5,2009,6.6073,5.85339,6,1.0286
Dominion,2,4,30,30,2008,7.66473,7.56879,13,2.3688
Don’t Panic,1,8,20,20,1987,5.4,5.4,8,1.23
Drunkgeon,1,4,30,45,2019,6.8,6.8,14,1.8
Dungeon Mayhem,2,4,10,10,2018,7,7,8,1.12
Eclipse,2,6,60,200,2011,7.97402,7.80979,14,3.6863
Exit: Dead Man on the Orient Express,1,4,45,90,2017,7.94598,5.84677,12,3.5
Exploding Kittens,2,5,15,15,2015,5.88679,5.71368,7,1.0708
Flash Point,2,2,45,45,1991,7.17266,5.65075,12,3.7826
Fog of Love,2,2,60,120,2017,7.54994,6.53024,17,2.2
Game of Thrones,3,6,120,240,2011,7.69226,7.49945,14,3.6694
Gloom,2,5,60,60,2005,6.36438,6.21087,13,1.642
Hive,2,2,20,20,2001,7.32452,7.20621,9,2.3366
Incan Gold,3,8,30,30,2005,6.8,6.8,8,1.11
We Rate Dogs,3,6,30,60,2019,6.2,6.2,8,1.5
Joking Hazard,3,10,30,90,2016,6.55021,6.13288,18,1.069
Kodama,2,5,0,40,2016,6.9009,6.48711,14,1.6119
Libertalia,2,6,45,45,2012,7.23165,7.04925,14,2.2358
Lost Cities,2,2,30,30,1999,7.14946,7.05813,10,1.5111
Love Letter,2,4,20,20,2012,7.28103,7.19747,10,1.1998
Machi Koro,2,4,30,30,2012,6.70289,6.60329,10,1.5474
Manhatten Project,2,5,120,120,2012,7.45059,7.19508,13,2.9696
Mind,2,4,15,15,2018,7.16613,6.46631,8,1.1163
Nuts about Mutts,3,8,30,40,2015,6.4,6.4,5,1
Odin's Ravens,2,2,30,30,2002,6.68005,6.37815,10,1.6762
P.I.,2,5,45,60,2012,6.75846,6.17331,13,2.2561
Patchwork,2,2,15,30,2014,7.76056,7.64154,8,1.7081
Pandemic,2,4,45,45,2008,7.65466,7.5631,8,2.4258
Pocket Mars,1,4,15,30,2017,6.67649,5.88629,10,2.4828
Red November,1,8,60,120,2008,6.33467,6.20074,13,2.0622
Rummikub,2,4,60,60,1977,6.31511,6.17254,8,1.7758
Potion Explosion,2,4,30,45,2015,7.20967,6.92743,8,1.7179
Saboteur,3,10,30,30,2004,6.6154,6.51138,8,1.3316
Scrabble,2,4,90,90,1948,6.2845,6.1827,10,2.122
Skull,3,6,45,45,2011,7.12618,6.89382,14,1.1631
Sushi Go Party,2,8,20,20,2016,7.58529,7.31818,8,1.3099
Eruption,2,6,30,60,2011,6.39641,5.81245,10,2
Tokaido,2,5,45,45,2012,7.05734,6.89266,8,1.766
Takenoko,2,4,45,45,2011,7.31997,7.19708,8,1.9781
Taverns of Tiefenthal,2,4,60,60,2019,7.6,7.6,12,2.64
Terra Mystica,2,5,60,150,2012,8.23703,8.09296,12,3.9505
Northwest Passage,1,4,60,60,2010,7.06543,6.37034,14,2.6701
Genius Square,1,2,5,30,2018,6.7,6.7,6,1
Terraforming Mars,1,5,120,120,2016,8.38461,8.19914,12,3.2456
Isle of Skye,2,5,30,50,2015,7.4863,7.30776,8,2.2507
The Sock Game,2,10,5,30,2016,5.9,5.9,10,1
Ticket to Ride,2,5,30,60,2004,7.46234,7.36423,8,1.8694
Ticket to Ride (Nordic),2,3,30,60,2007,7.65653,7.39728,8,1.9882
Torres,2,4,60,60,1999,7.16742,6.92718,12,2.8827
Connect Four,2,2,10,10,1974,4.9,4.9,6,1.21
Azul Summer Pavillion,2,4,30,45,2017,8.01887,7.73689,8,1.8458
Tzolk'in,2,4,90,90,2012,7.93022,7.78148,13,3.6361
Villainous,1,5,45,45,2014,7.70095,6.87783,14,2.7681
Keyflower,2,6,90,120,2012,7.88728,7.70528,12,3.3432
Cartographers,1,9,30,45,2019,7.8,7.8,10,1.9
Welcome to the Dungeon,2,4,30,30,2013,6.71351,6.55404,10,1.212
Wingspan,1,5,40,70,2019,8.11,8.11,10,2.42
Yggdrasil Chronicles,1,6,90,90,2011,7.06913,6.6615,13,2.5896
